"date","Q1","Q2"
1983.32328767123,190,342
1983.32602739726,181,399
1983.32876712329,169,337
1983.33150684932,160,302
1983.33424657534,163,275
1983.33698630137,175,291
1983.3397260274,202,389
1983.34246575342,226,410
1983.34520547945,202,421
1983.34794520548,236,552
1983.35068493151,317,728
1983.35342465753,452,799
1983.35616438356,553,862
1983.35890410959,480,547
1983.36164383562,436,522
1983.36438356164,371,438
1983.36712328767,336,429
1983.3698630137,302,431
1983.37260273973,286,350
1983.37534246575,271,290
1983.37808219178,277,268
1983.38082191781,277,251
1983.38356164384,319,311
1983.38630136986,435,455
1983.38904109589,566,542
1983.39178082192,730,614
1983.39452054795,928,715
1983.39726027397,1090,778
1983.4,1370,775
1983.40273972603,1660,767
1983.40547945205,1770,722
1983.40821917808,1980,851
1983.41095890411,1970,958
1983.41369863014,1770,783
1983.41643835616,1670,717
1983.41917808219,1530,522
1983.42191780822,1540,475
1983.42465753425,1580,445
1983.42739726027,1440,366
1983.4301369863,1420,327
1983.43287671233,1510,312
1983.43561643836,1550,279
1983.43835616438,1690,250
1983.44109589041,1790,211
1983.44383561644,1870,228
1983.44657534247,1630,205
1983.44931506849,1320,203
1983.45205479452,1290,215
1983.45479452055,1400,237
1983.45753424658,1510,231
1983.4602739726,1740,221
1983.46301369863,2070,209
1983.46575342466,2300,184
1983.46849315068,2300,161
1983.47123287671,2200,138
1983.47397260274,2120,122
1983.47671232877,2150,146
1983.47945205479,2490,186
1983.48219178082,2360,455
1983.48493150685,2130,417
1983.48767123288,1880,308
1983.4904109589,1740,166
1983.49315068493,1650,96
1983.49589041096,1570,73
1983.49863013699,1460,61
1983.50136986301,1460,51
1983.50410958904,1350,46
1983.50684931507,1330,43
1983.5095890411,1310,39
1983.51232876712,1360,36
1983.51506849315,1520,34
1983.51780821918,1470,35
1983.52054794521,1480,32
1983.52328767123,1340,27
1983.52602739726,1140,23
1983.52876712329,1060,20
1983.53150684932,1000,18
1983.53424657534,951,16
1983.53698630137,859,14
1983.5397260274,853,13
1983.54246575342,829,11
1983.54520547945,848,10
1983.54794520548,833,10
1983.55068493151,830,10
1983.55342465753,805,11
1983.55616438356,804,41
1983.55890410959,688,38
1983.56164383562,634,48
1983.56438356164,720,87
1983.56712328767,620,73
1983.5698630137,595,46
1983.57260273973,539,35
1983.57534246575,533,29
1983.57808219178,515,29
1983.58082191781,582,38
1983.58356164384,538,31
1983.58630136986,545,41
1983.58904109589,571,89
1983.59178082192,665,55
1983.59452054795,616,48
1983.59726027397,622,79
1983.6,536,37
1983.60273972603,477,35
1983.60547945205,440,32
1983.60821917808,410,40
1983.61095890411,412,74
1983.61369863014,426,63
1983.61643835616,379,31
1983.61917808219,361,34
1983.62191780822,342,28
1983.62465753425,316,22
1983.62739726027,315,20
1983.6301369863,300,20
1983.63287671233,295,23
1983.63561643836,278,21
1983.63835616438,264,20
1983.64109589041,261,18
1983.64383561644,239,16
1983.64657534247,235,19
1983.64931506849,229,18
1983.65205479452,231,17
1983.65479452055,216,16
1983.65753424658,206,13
1983.6602739726,212,14
1983.66301369863,203,13
1983.66575342466,204,12
1983.66849315068,195,10
1983.67123287671,190,9.2
1983.67397260274,190,9.8
1983.67671232877,186,8.2
1983.67945205479,174,7.4
1983.68219178082,167,7.1
1983.68493150685,163,6.7
1983.68767123288,162,7.1
1983.6904109589,158,7.1
1983.69315068493,151,6.5
1983.69589041096,144,5.8
1983.69863013699,135,4.4
1983.70136986301,134,3.3
1983.70410958904,141,2.9
1983.70684931507,137,2.6
1983.7095890411,133,2.4
1983.71232876712,130,2.2
1983.71506849315,127,1.6
1983.71780821918,129,1.7
1983.72054794521,123,2.3
1983.72328767123,121,2.4
1983.72602739726,120,2.3
1983.72876712329,120,5
1983.73150684932,118,6
1983.73424657534,112,6.3
1983.73698630137,110,7.1
1983.7397260274,107,9
1983.74246575342,106,6.6
1983.74520547945,111,9.1
1983.74794520548,117,34
1983.75068493151,115,22
1983.75342465753,111,22
1983.75616438356,113,19
1983.75890410959,110,17
1983.76164383562,108,14
1983.76438356164,107,13
1983.76712328767,106,12
1983.7698630137,102,12
1983.77260273973,99,12
1983.77534246575,97,10
1983.77808219178,95,9.5
1983.78082191781,93,8.5
1983.78356164384,101,9.5
1983.78630136986,103,8.5
1983.78904109589,100,8
1983.79178082192,100,8.5
1983.79452054795,98,8.5
1983.79726027397,98,8.5
1983.8,98,8
1983.80273972603,98,8
1983.80547945205,97,7.5
1983.80821917808,95,7.5
1983.81095890411,95,8
1983.81369863014,94,8
1983.81643835616,90,8
1983.81917808219,89,8
1983.82191780822,89,7.5
1983.82465753425,89,7.5
1983.82739726027,87,7
1983.8301369863,88,6.5
1983.83287671233,92,6
1983.83561643836,93,5.5
1983.83835616438,92,5.5
1983.84109589041,90,5
1983.84383561644,87,5
1983.84657534247,87,4.5
1983.84931506849,88,4.5
1983.85205479452,88,7
1983.85479452055,82,6.5
1983.85753424658,83,8
1983.8602739726,92,8
1983.86301369863,95,8
1983.86575342466,102,8
1983.86849315069,97,7.5
1983.87123287671,82,7
1983.87397260274,90,8
1983.87671232877,92,8
1983.87945205479,101,9.5
1983.88219178082,92,8.5
1983.88493150685,95,11
1983.88767123288,95,11
1983.8904109589,91,9.5
1983.89315068493,103,9.5
1983.89589041096,104,9
1983.89863013699,102,11
1983.90136986301,96,10
1983.90410958904,96,9
1983.90684931507,88,9
1983.9095890411,95,8.5
1983.91232876712,102,9
1983.91506849315,98,10
1983.91780821918,97,11
1983.92054794521,95,11
1983.92328767123,96,10
1983.92602739726,87,9.5
1983.92876712329,86,8.5
1983.93150684932,88,8.5
1983.93424657534,92,9
1983.93698630137,93,9
1983.9397260274,94,9
1983.94246575342,94,9
1983.94520547945,94,9.5
1983.94794520548,95,9.5
1983.95068493151,88,8.5
1983.95342465753,85,8.5
1983.95616438356,75,8.5
1983.95890410959,90,9
1983.96164383562,86,9.5
1983.96438356164,85,10
1983.96712328767,80,9.5
1983.9698630137,72,9
1983.97260273973,80,8.5
1983.97534246575,79,8.5
1983.97808219178,77,9
1983.98082191781,80,10
1983.98356164384,81,12
1983.98630136986,82,13
1983.98904109589,73,12
1983.99178082192,63,11
1983.99452054795,64,12
1983.99726027397,67,14
1984,67,14
1984.00273224044,64,13
1984.00546448087,66,10
1984.00819672131,68,16
1984.01092896175,70,20
1984.01366120219,72,20
1984.01639344262,72,22
1984.01912568306,72,22
1984.0218579235,70,24
1984.02459016393,70,22
1984.02732240437,68,20
1984.03005464481,70,19
1984.03278688525,72,18
1984.03551912568,70,17
1984.03825136612,68,16
1984.04098360656,60,15
1984.04371584699,57,13
1984.04644808743,53,13
1984.04918032787,56,8
1984.05191256831,58,11
1984.05464480874,60,13
1984.05737704918,62,12
1984.06010928962,60,11
1984.06284153005,63,14
1984.06557377049,66,14
1984.06830601093,66,13
1984.07103825137,66,13
1984.0737704918,68,14
1984.07650273224,68,13
1984.07923497268,66,15
1984.08196721311,68,18
1984.08469945355,70,15
1984.08743169399,70,18
1984.09016393443,70,19
1984.09289617486,70,20
1984.0956284153,70,21
1984.09836065574,70,22
1984.10109289617,70,22
1984.10382513661,70,23
1984.10655737705,70,21
1984.10928961749,68,22
1984.11202185792,68,21
1984.11475409836,68,18
1984.1174863388,68,19
1984.12021857923,70,22
1984.12295081967,68,21
1984.12568306011,66,18
1984.12841530055,70,23
1984.13114754098,70,18
1984.13387978142,64,16
1984.13661202186,64,14
1984.1393442623,66,16
1984.14207650273,66,18
1984.14480874317,64,17
1984.14754098361,66,17
1984.15027322404,67,18
1984.15300546448,61,17
1984.15573770492,60,15
1984.15846994536,60,15
1984.16120218579,62,17
1984.16393442623,62,18
1984.16666666667,66,18
1984.1693989071,60,23
1984.17213114754,61,18
1984.17486338798,59,15
1984.17759562842,58,16
1984.18032786885,60,16
1984.18306010929,62,18
1984.18579234973,61,20
1984.18852459016,61,23
1984.1912568306,59,27
1984.19398907104,57,22
1984.19672131148,57,23
1984.19945355191,58,28
1984.20218579235,59,28
1984.20491803279,59,28
1984.20765027322,55,25
1984.21038251366,58,24
1984.2131147541,56,21
1984.21584699454,56,22
1984.21857923497,58,25
1984.22131147541,60,28
1984.22404371585,60,28
1984.22677595628,61,27
1984.22950819672,63,31
1984.23224043716,62,32
1984.2349726776,62,30
1984.23770491803,60,28
1984.24043715847,60,28
1984.24316939891,62,29
1984.24590163934,62,31
1984.24863387978,63,30
1984.25136612022,61,28
1984.25409836066,60,27
1984.25683060109,60,26
1984.25956284153,64,28
1984.26229508197,70,34
1984.2650273224,72,37
1984.26775956284,78,42
1984.27049180328,88,63
1984.27322404372,77,50
1984.27595628415,86,71
1984.27868852459,74,58
1984.28142076503,83,68
1984.28415300546,78,84
1984.2868852459,88,108
1984.28961748634,96,156
1984.29234972678,114,228
1984.29508196721,142,314
1984.29781420765,148,302
1984.30054644809,148,195
1984.30327868852,135,138
1984.30601092896,130,138
1984.3087431694,137,164
1984.31147540984,160,232
1984.31420765027,181,281
1984.31693989071,164,204
1984.31967213115,158,164
1984.32240437158,144,138
1984.32513661202,153,134
1984.32786885246,144,142
1984.3306010929,145,162
1984.33333333333,154,184
1984.33606557377,153,248
1984.33879781421,161,286
1984.34153005464,177,350
1984.34426229508,186,401
1984.34699453552,185,320
1984.34972677596,180,319
1984.35245901639,205,365
1984.35519125683,293,440
1984.35792349727,485,526
1984.3606557377,756,559
1984.36338797814,1120,595
1984.36612021858,1490,598
1984.36885245902,1720,560
1984.37158469945,1760,500
1984.37431693989,1840,464
